Identity,FirstName,Surname,Age,Sex,Mobile,Active,
0195181679857,Joel,Wonderful,35,M,0725329958,FALSE,
2829176126544,Peter,Nells,28,M,0824951599,TRUE,
7507130935808,Gonnies,Pretorious,M,38,081123456,TRUE,
8485819435523,David,King,34,,M,,FALSE
8032376496233,Sunny,Smith,23,F,,TRUE,
1595964564742,Connie,Mokoka,19,M,0829746543,FALSE,
9590933538085,Tete,Maloka,29,M,,TRUE,
6024595731383,Andries,Wonderful,45,M,07413355689,Maybe,
0917972984423,Johannah,Mola,50,F,,Yes,
1966013390522,Patience,Shadow,80,F,0745671234,TRUE,
6249135192128,Mmusi,Ndlovu,60,F,0741111234,TRUE,
1966013390522,Mary,Shona,60,F,0746851234,TRUE,
0949160649210,Tshego,Ndlovu,30,F,0748881234,TRUE,
0671568913660,Lebo,MMM,20,M,0749991234,FALSE,
7836670855683,Abrum,Moja,45,M,0743211234,TRUE,
3126913450675,Suna,Jones,40,F,0745521234,FALSE,
